Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
523,Lesley Ugochukwu,fr FRA,MF,Southampton,21-045,2004,16.9,1,10,1,10.0,0.59,0.06,0.10,1.00,17.0,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
524,Enes Ünal,tr TUR,"FW,MF",Bournemouth,28-000,1997,3.8,2,20,7,35.0,5.22,1.83,0.10,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
525,Virgil van Dijk,nl NED,DF,Liverpool,33-306,1991,35.0,3,27,8,29.6,0.77,0.23,0.11,0.38,13.1,1,0,0,2.2,2.2,0.08,+0.8,+0.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
526,Jamie Vardy,eng ENG,FW,Leicester City,38-119,1987,29.5,8,52,22,42.3,1.76,0.75,0.13,0.32,12.4,1,1,2,10.7,9.1,0.18,-2.7,-2.1,Matches
527,Renato Veiga,pt POR,"DF,MF",Chelsea,21-285,2003,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
528,Joël Veltman,nl NED,DF,Brighton,33-115,1992,18.5,0,6,1,16.7,0.32,0.05,0.00,0.00,19.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
529,Micky van de Ven,nl NED,DF,Tottenham,24-021,2001,10.6,0,6,2,33.3,0.57,0.19,0.00,0.00,11.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
530,Bart Verbruggen,nl NED,GK,Brighton,22-265,2002,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
531,Jannik Vestergaard,dk DEN,DF,Leicester City,32-280,1992,15.5,0,3,2,66.7,0.19,0.13,0.00,0.00,9.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
532,Guglielmo Vicario,it ITA,GK,Tottenham,28-215,1996,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
533,Carlos Vinícius,br BRA,"MF,FW",Fulham,30-046,1995,0.2,0,1,1,100.0,5.63,5.63,0.00,0.00,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
534,Kyle Walker,eng ENG,DF,Manchester City,34-347,1990,10.8,0,5,2,40.0,0.46,0.19,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
535,Kyle Walker-Peters,eng ENG,DF,Southampton,28-027,1997,32.4,0,20,6,30.0,0.62,0.19,0.00,0.00,18.3,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
536,Christian Walton,eng ENG,GK,Ipswich Town,29-182,1995,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
537,Aaron Wan-Bissaka,eng ENG,DF,West Ham,27-165,1997,32.0,2,16,5,31.3,0.50,0.16,0.13,0.40,15.1,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches
538,Danny Ward,wls WAL,GK,Leicester City,31-322,1993,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
539,Joel Ward,eng ENG,DF,Crystal Palace,35-193,1989,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
540,James Ward-Prowse,eng ENG,MF,West Ham,30-190,1994,9.0,0,9,2,22.2,1.00,0.22,0.00,0.00,21.9,3,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches
541,James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30-190,1994,4.4,0,2,1,50.0,0.45,0.23,0.00,0.00,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
542,Ollie Watkins,eng ENG,FW,Aston Villa,29-131,1995,25.9,15,78,33,42.3,3.01,1.27,0.17,0.39,12.2,0,2,2,14.7,13.2,0.17,+0.3,-0.2,Matches
543,Adam Webster,eng ENG,DF,Brighton,30-126,1995,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
544,Danny Welbeck,eng ENG,FW,Brighton,34-165,1990,21.6,9,53,20,37.7,2.46,0.93,0.17,0.45,15.2,8,0,0,8.1,8.1,0.15,+0.9,+0.9,Matches
545,Welington,br BRA,"DF,MF",Southampton,24-080,2001,2.4,0,3,0,0.0,1.26,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
546,Timo Werner,de GER,"FW,MF",Tottenham,29-065,1996,5.7,0,8,3,37.5,1.40,0.52,0.00,0.00,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0,Matches
547,Adam Wharton,eng ENG,MF,Crystal Palace,20-342,2004,14.6,0,13,5,38.5,0.89,0.34,0.00,0.00,25.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
548,Ben White,eng ENG,DF,Arsenal,27-214,1997,10.5,0,7,1,14.3,0.67,0.10,0.00,0.00,19.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
549,Mats Wieffer,nl NED,"MF,DF",Brighton,25-175,1999,8.3,1,8,4,50.0,0.97,0.48,0.13,0.25,12.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
550,Neco Williams,wls WAL,DF,Nott'ham Forest,24-027,2001,25.8,1,37,7,18.9,1.43,0.27,0.03,0.14,20.2,1,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
