Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
204,Toti Gomes,pt POR,DF,Wolves,26-114,1999,28,27,2344,26.0,0,1,1,0,0,0,6,0,0.7,0.7,0.9,1.7,21,67,15,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.06,0.03,0.06,Matches
205,Diego Gómez,py PAR,MF,Brighton,22-044,2003,13,4,441,4.9,0,0,0,0,0,0,0,0,0.7,0.7,0.5,1.2,5,20,14,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.25,0.15,0.25,Matches
206,Joe Gomez,eng ENG,DF,Liverpool,27-352,1997,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
207,Nicolás González,es ESP,MF,Manchester City,23-127,2002,9,8,648,7.2,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.3,5,46,10,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
208,Anthony Gordon,eng ENG,FW,Newcastle Utd,24-075,2001,31,25,2235,24.8,6,5,11,5,1,2,2,0,8.0,6.4,4.9,11.4,111,93,197,0.24,0.20,0.44,0.20,0.40,0.32,0.20,0.52,0.26,0.46,Matches
209,Ryan Gravenberch,nl NED,MF,Liverpool,22-359,2002,34,34,2921,32.5,0,4,4,0,0,0,5,0,1.0,1.0,2.9,3.9,65,168,54,0.00,0.12,0.12,0.00,0.12,0.03,0.09,0.12,0.03,0.12,Matches
210,Archie Gray,eng ENG,"DF,MF",Tottenham,19-059,2006,25,16,1481,16.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,6,34,15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
211,Jack Grealish,eng ENG,"FW,MF",Manchester City,29-242,1995,19,7,720,8.0,1,1,2,1,0,0,3,0,1.1,1.1,1.8,3.0,69,52,118,0.12,0.12,0.25,0.12,0.25,0.14,0.23,0.37,0.14,0.37,Matches
212,Jacob Greaves,eng ENG,DF,Ipswich Town,24-240,2000,22,22,1935,21.5,1,0,1,1,0,0,5,0,1.2,1.2,0.0,1.3,7,53,8,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.06,0.06,0.06,Matches
213,Brajan Gruda,de GER,"FW,MF",Brighton,20-344,2004,18,6,508,5.6,0,3,3,0,0,0,0,0,0.4,0.4,1.5,1.9,16,17,47,0.00,0.53,0.53,0.00,0.53,0.07,0.27,0.34,0.07,0.34,Matches
214,Albert Grønbaek,dk DEN,"FW,MF",Southampton,23-352,2001,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
215,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-162,1996,26,7,783,8.7,2,4,6,2,0,0,1,0,2.2,2.2,1.1,3.3,32,31,60,0.23,0.46,0.69,0.23,0.69,0.26,0.13,0.38,0.26,0.38,Matches
216,Marc Guéhi,eng ENG,DF,Crystal Palace,24-301,2000,33,33,2969,33.0,3,2,5,3,0,0,9,1,2.0,2.0,1.5,3.5,22,128,10,0.09,0.06,0.15,0.09,0.15,0.06,0.05,0.11,0.06,0.11,Matches
217,Luis Guilherme,br BRA,"MF,FW",West Ham,19-090,2006,11,1,138,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,3,13,0.00,0.00,0.00,0.00,0.00,0.19,0.05,0.24,0.19,0.24,Matches
218,Bruno Guimarães,br BRA,MF,Newcastle Utd,27-175,1997,35,35,3002,33.4,4,6,10,4,0,0,6,0,3.9,3.9,5.8,9.6,54,247,81,0.12,0.18,0.30,0.12,0.30,0.12,0.17,0.29,0.12,0.29,Matches
219,Marc Guiu,es ESP,FW,Chelsea,19-126,2006,3,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
220,İlkay Gündoğan,de GER,MF,Manchester City,34-198,1990,31,23,2050,22.8,0,5,5,0,0,0,1,0,2.7,2.7,2.8,5.5,57,115,86,0.00,0.22,0.22,0.00,0.22,0.12,0.12,0.24,0.12,0.24,Matches
221,Malo Gusto,fr FRA,DF,Chelsea,21-356,2003,29,19,1832,20.4,0,1,1,0,0,0,4,0,1.7,1.7,1.3,3.0,49,119,84,0.00,0.05,0.05,0.00,0.05,0.08,0.06,0.15,0.08,0.15,Matches
222,Joško Gvardiol,hr CRO,DF,Manchester City,23-107,2002,34,33,3007,33.4,5,0,5,5,0,0,2,0,4.4,4.0,2.0,6.0,81,251,98,0.15,0.00,0.15,0.15,0.15,0.13,0.06,0.19,0.12,0.18,Matches
223,Erling Haaland,no NOR,FW,Manchester City,24-293,2000,28,28,2480,27.6,21,3,24,19,2,3,2,0,20.8,18.4,2.8,21.2,19,18,103,0.76,0.11,0.87,0.69,0.80,0.76,0.10,0.86,0.67,0.77,Matches
224,Lewis Hall,eng ENG,DF,Newcastle Utd,20-244,2004,27,24,2189,24.3,0,4,4,0,0,0,3,0,0.4,0.4,4.3,4.7,41,123,80,0.00,0.16,0.16,0.00,0.16,0.02,0.18,0.19,0.02,0.19,Matches
225,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23-070,2002,11,0,134,1.5,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.4,4,3,14,0.00,0.00,0.00,0.00,0.00,0.24,0.05,0.28,0.24,0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
226,Marcus Harness,eng ENG,MF,Ipswich Town,29-075,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
227,Jack Harrison,eng ENG,FW,Everton,28-171,1996,31,22,1900,21.1,1,0,1,1,0,0,0,0,3.3,3.3,3.7,7.0,64,45,116,0.05,0.00,0.05,0.05,0.05,0.16,0.17,0.33,0.16,0.33,Matches
228,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23-100,2002,32,30,2654,29.5,1,0,1,1,0,0,9,0,1.8,1.8,1.0,2.8,29,119,9,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.09,0.06,0.09,Matches
229,Kai Havertz,de GER,"FW,MF",Arsenal,25-333,1999,21,21,1839,20.4,9,3,12,9,0,0,4,0,9.4,9.4,2.4,11.8,34,59,110,0.44,0.15,0.59,0.44,0.59,0.46,0.12,0.58,0.46,0.58,Matches
230,Ayden Heaven,eng ENG,DF,Manchester Utd,18-230,2006,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
231,Jan Paul van Hecke,nl NED,DF,Brighton,24-336,2000,31,30,2688,29.9,1,1,2,1,0,0,8,1,1.3,1.3,1.5,2.7,53,216,5,0.03,0.03,0.07,0.03,0.07,0.04,0.05,0.09,0.04,0.09,Matches
232,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-104,1996,20,5,651,7.2,2,0,2,2,0,0,0,0,0.8,0.8,0.1,0.9,15,12,41,0.28,0.00,0.28,0.28,0.28,0.11,0.02,0.13,0.11,0.13,Matches
233,Dean Henderson,eng ENG,GK,Crystal Palace,28-059,1997,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
234,Rico Henry,eng ENG,DF,Brentford,27-306,1997,4,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
235,Mads Hermansen,dk DEN,GK,Leicester City,24-303,2000,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
236,Son Heung-min,kr KOR,FW,Tottenham,32-306,1992,28,23,2004,22.3,7,9,16,6,1,2,1,0,7.0,5.4,8.2,13.7,87,104,259,0.31,0.40,0.72,0.27,0.67,0.31,0.37,0.68,0.24,0.61,Matches
237,James Hill,eng ENG,DF,Bournemouth,23-120,2002,10,6,448,5.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,3,16,8,0.00,0.20,0.20,0.00,0.20,0.06,0.05,0.11,0.06,0.11,Matches
238,Jack Hinshelwood,eng ENG,"DF,MF",Brighton,20-029,2005,23,21,1744,19.4,2,2,4,2,0,0,5,0,1.5,1.5,1.3,2.8,18,63,47,0.10,0.10,0.21,0.10,0.21,0.08,0.07,0.14,0.08,0.14,Matches
239,George Hirst,sct SCO,FW,Ipswich Town,26-084,1999,23,3,493,5.5,3,1,4,3,0,0,2,0,1.6,1.6,0.3,1.9,9,13,29,0.55,0.18,0.73,0.55,0.73,0.28,0.06,0.35,0.28,0.35,Matches
240,Mason Holgate,eng ENG,"FW,DF",Everton,28-200,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
241,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,24-184,2000,29,25,2152,23.9,5,2,7,5,0,0,2,0,2.5,2.5,2.7,5.2,127,66,186,0.21,0.08,0.29,0.21,0.29,0.10,0.11,0.22,0.10,0.22,Matches
242,Will Hughes,eng ENG,MF,Crystal Palace,30-023,1995,30,21,1899,21.1,0,3,3,0,0,0,11,0,1.0,1.0,2.7,3.8,19,83,24,0.00,0.14,0.14,0.00,0.14,0.05,0.13,0.18,0.05,0.18,Matches
243,Dean Huijsen,es ESP,DF,Bournemouth,20-026,2005,29,24,2234,24.8,3,1,4,3,0,0,8,0,1.9,1.9,2.0,3.8,36,116,10,0.12,0.04,0.16,0.12,0.16,0.08,0.08,0.15,0.08,0.15,Matches
244,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-192,2003,28,27,2313,25.7,3,2,5,3,0,0,5,0,2.4,2.4,2.7,5.1,74,71,135,0.12,0.08,0.19,0.12,0.19,0.09,0.11,0.20,0.09,0.20,Matches
245,Rasmus Højlund,dk DEN,FW,Manchester Utd,22-095,2003,29,20,1744,19.4,4,0,4,4,0,0,2,0,3.8,3.8,1.3,5.1,26,16,83,0.21,0.00,0.21,0.21,0.21,0.20,0.06,0.26,0.20,0.26,Matches
246,Igor,br BRA,DF,Brighton,27-092,1998,12,9,903,10.0,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,44,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
247,Danny Ings,eng ENG,"FW,MF",West Ham,32-291,1992,15,1,284,3.2,1,2,3,1,0,0,0,0,2.3,2.3,1.3,3.5,6,5,29,0.32,0.63,0.95,0.32,0.95,0.72,0.41,1.12,0.72,1.12,Matches
248,Tim Iroegbunam,eng ENG,MF,Everton,21-314,2003,17,5,567,6.3,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,14,9,0.00,0.16,0.16,0.00,0.16,0.04,0.03,0.07,0.04,0.07,Matches
249,Andy Irving,sct SCO,MF,West Ham,24-362,2000,10,1,166,1.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,0,9,4,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.19,0.06,0.19,Matches
250,Alexander Isak,se SWE,FW,Newcastle Utd,25-231,1999,32,32,2577,28.6,23,6,29,19,4,4,1,0,19.9,16.8,4.3,21.1,81,80,200,0.80,0.21,1.01,0.66,0.87,0.69,0.15,0.85,0.59,0.74,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
251,Alex Iwobi,ng NGA,"FW,MF",Fulham,29-007,1996,35,33,2796,31.1,9,6,15,9,0,0,1,0,4.6,4.6,6.9,11.5,135,199,224,0.29,0.19,0.48,0.29,0.48,0.15,0.22,0.37,0.15,0.37,Matches
252,Nicolas Jackson,sn SEN,FW,Chelsea,23-324,2001,29,27,2185,24.3,10,5,15,10,0,0,7,0,12.3,12.3,4.3,16.6,46,37,127,0.41,0.21,0.62,0.41,0.62,0.51,0.18,0.68,0.51,0.68,Matches
253,Reece James,eng ENG,"DF,MF",Chelsea,25-153,1999,16,10,838,9.3,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,51,10,0.11,0.00,0.11,0.11,0.11,0.03,0.06,0.09,0.03,0.09,Matches
254,Vitaly Janelt,de GER,MF,Brentford,27-000,1998,32,27,2254,25.0,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,80,38,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches
255,Vitezslav Jaros,cz CZE,GK,Liverpool,23-291,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
256,Daniel Jebbison,eng ENG,FW,Bournemouth,21-270,2003,13,0,80,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,2,3,11,0.00,0.00,0.00,0.00,0.00,0.23,0.22,0.45,0.23,0.45,Matches
257,Mathias Jensen,dk DEN,MF,Brentford,29-129,1996,21,8,816,9.1,0,2,2,0,0,0,2,0,0.2,0.2,1.6,1.8,6,56,26,0.00,0.22,0.22,0.00,0.22,0.03,0.18,0.20,0.03,0.20,Matches
258,Gabriel Jesus,br BRA,FW,Arsenal,28-037,1997,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.00,0.44,0.44,0.44,0.44,0.10,0.54,0.44,0.54,Matches
259,Raúl Jiménez,mx MEX,FW,Fulham,34-005,1991,35,27,2224,24.7,10,3,13,7,3,3,4,0,11.2,8.8,3.2,12.0,32,56,119,0.40,0.12,0.53,0.28,0.40,0.45,0.13,0.58,0.36,0.48,Matches
260,Kim Jisoo,kr KOR,DF,Brentford,20-137,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
261,João Pedro,br BRA,"FW,MF",Brighton,23-226,2001,27,23,1948,21.6,10,6,16,5,5,5,4,1,8.9,5.0,5.0,10.0,66,78,128,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches
262,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-269,1996,29,29,2393,26.6,4,3,7,4,0,0,10,0,3.9,3.9,2.5,6.4,40,116,110,0.15,0.11,0.26,0.15,0.26,0.15,0.09,0.24,0.15,0.24,Matches
263,Ben Johnson,eng ENG,"DF,FW",Ipswich Town,25-106,2000,22,14,1348,15.0,1,2,3,1,0,0,5,1,1.1,1.1,1.3,2.3,16,26,33,0.07,0.13,0.20,0.07,0.20,0.07,0.09,0.16,0.07,0.16,Matches
264,Brennan Johnson,wls WAL,FW,Tottenham,23-352,2001,31,23,2083,23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.60,0.48,0.60,0.43,0.10,0.52,0.43,0.52,Matches
265,Sam Johnstone,eng ENG,GK,Wolves,32-046,1993,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
266,Curtis Jones,eng ENG,"MF,DF",Liverpool,24-100,2001,30,17,1528,17.0,3,3,6,3,0,0,3,1,4.1,4.1,1.0,5.1,24,95,71,0.18,0.18,0.35,0.18,0.35,0.24,0.06,0.30,0.24,0.30,Matches
267,Jorginho,it ITA,MF,Arsenal,33-141,1991,14,9,703,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
268,Diogo Jota,pt POR,FW,Liverpool,28-157,1996,24,14,1154,12.8,6,3,9,6,0,0,2,0,7.5,7.5,1.8,9.3,36,33,86,0.47,0.23,0.70,0.47,0.70,0.59,0.14,0.73,0.59,0.73,Matches
269,James Justin,eng ENG,DF,Leicester City,27-076,1998,33,31,2669,29.7,2,1,3,2,0,0,5,0,1.5,1.5,0.6,2.1,39,87,92,0.07,0.03,0.10,0.07,0.10,0.05,0.02,0.07,0.05,0.07,Matches
270,Filip Jørgensen,dk DEN,GK,Chelsea,23-024,2002,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
271,Ferdi Kadioglu,tr TUR,"DF,MF",Brighton,25-215,1999,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches
272,Daichi Kamada,jp JPN,MF,Crystal Palace,28-278,1996,31,14,1424,15.8,0,0,0,0,0,0,4,1,1.1,1.1,1.8,2.9,24,80,54,0.00,0.00,0.00,0.00,0.00,0.07,0.11,0.18,0.07,0.18,Matches
273,Boubacar Kamara,fr FRA,MF,Aston Villa,25-168,1999,23,17,1463,16.3,0,0,0,0,0,0,2,0,0.4,0.4,0.9,1.3,16,74,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08,Matches
274,Michael Kayode,it ITA,DF,Brentford,20-304,2004,9,3,291,3.2,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,8,5,16,0.00,0.31,0.31,0.00,0.31,0.02,0.30,0.33,0.02,0.33,Matches
275,Michael Keane,eng ENG,DF,Everton,32-119,1993,11,9,852,9.5,2,0,2,2,0,0,5,0,0.4,0.4,0.1,0.5,1,12,3,0.21,0.00,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
276,Caoimhín Kelleher,ie IRL,GK,Liverpool,26-168,1998,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
277,Lloyd Kelly,eng ENG,DF,Newcastle Utd,26-216,1998,10,4,303,3.4,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,0,9,5,0.00,0.30,0.30,0.00,0.30,0.12,0.14,0.26,0.12,0.26,Matches
278,Milos Kerkez,hu HUN,DF,Bournemouth,21-184,2003,35,35,3077,34.2,2,5,7,2,0,0,4,0,0.5,0.5,3.7,4.2,96,144,169,0.06,0.15,0.20,0.06,0.20,0.02,0.11,0.12,0.01,0.12,Matches
279,Bilal El Khannouss,ma MAR,MF,Leicester City,21-000,2004,30,25,2003,22.3,2,3,5,2,0,0,4,0,1.1,1.1,4.1,5.2,71,119,83,0.09,0.13,0.22,0.09,0.22,0.05,0.18,0.23,0.05,0.23,Matches
280,Abdukodir Khusanov,uz UZB,DF,Manchester City,21-070,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
281,Max Kilman,eng ENG,DF,West Ham,27-352,1997,35,35,3078,34.2,0,1,1,0,0,0,4,0,1.4,1.4,1.2,2.6,29,107,6,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.08,0.04,0.08,Matches
282,Joshua King,eng ENG,"MF,FW",Fulham,18-127,2007,5,1,80,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.4,0.6,1,4,9,0.00,0.00,0.00,0.00,0.00,0.22,0.48,0.70,0.22,0.70,Matches
283,Antonín Kinský,cz CZE,GK,Tottenham,22-058,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
284,Jakub Kiwior,pl POL,DF,Arsenal,25-084,2000,14,7,852,9.5,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.4,5,36,0,0.11,0.00,0.11,0.11,0.11,0.02,0.03,0.05,0.02,0.05,Matches
285,Justin Kluivert,nl NED,"MF,FW",Bournemouth,26-005,1999,31,27,2161,24.0,12,6,18,6,6,6,8,0,10.0,5.3,4.8,10.1,74,95,153,0.50,0.25,0.75,0.25,0.50,0.42,0.20,0.62,0.22,0.42,Matches
286,Ibrahima Konaté,fr FRA,DF,Liverpool,25-350,1999,28,27,2320,25.8,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,21,103,3,0.04,0.08,0.12,0.04,0.12,0.07,0.04,0.10,0.07,0.10,Matches
287,Ezri Konsa,eng ENG,DF,Aston Villa,27-199,1997,31,30,2666,29.6,1,0,1,1,0,0,0,0,0.9,0.9,0.4,1.3,17,77,11,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches
288,Mateo Kovačić,hr CRO,MF,Manchester City,31-004,1994,29,23,2049,22.8,6,1,7,6,0,0,5,0,1.7,1.7,3.6,5.3,52,149,15,0.26,0.04,0.31,0.26,0.31,0.08,0.16,0.23,0.08,0.23,Matches
289,Caleb Kporha,eng ENG,DF,Crystal Palace,18-299,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
290,Emil Krafth,se SWE,DF,Newcastle Utd,30-281,1994,10,2,289,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
291,Mohammed Kudus,gh GHA,"FW,MF",West Ham,24-281,2000,29,29,2421,26.9,4,2,6,4,0,0,2,1,6.6,6.6,2.5,9.0,93,76,201,0.15,0.07,0.22,0.15,0.22,0.24,0.09,0.34,0.24,0.34,Matches
292,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,25-015,2000,31,26,2371,26.3,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,123,210,0.27,0.15,0.42,0.27,0.42,0.16,0.24,0.39,0.16,0.39,Matches
293,Maxence Lacroix,fr FRA,DF,Crystal Palace,25-034,2000,32,32,2846,31.6,1,1,2,1,0,0,5,0,3.1,3.1,0.8,3.9,8,61,7,0.03,0.03,0.06,0.03,0.06,0.10,0.02,0.12,0.10,0.12,Matches
294,Adam Lallana,eng ENG,MF,Southampton,37-000,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches
295,Tariq Lamptey,gh GHA,DF,Brighton,24-222,2000,14,9,802,8.9,2,2,4,2,0,0,0,0,0.4,0.4,0.8,1.2,28,12,43,0.22,0.22,0.45,0.22,0.45,0.04,0.09,0.13,0.04,0.13,Matches
296,Will Lankshear,eng ENG,"FW,MF",Tottenham,20-020,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
297,Roméo Lavia,be BEL,MF,Chelsea,21-124,2004,13,10,684,7.6,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.9,3,24,7,0.00,0.13,0.13,0.00,0.13,0.02,0.10,0.12,0.02,0.12,Matches
298,Mario Lemina,ga GAB,"MF,DF",Wolves,31-251,1993,17,15,1364,15.2,1,3,4,1,0,0,4,0,1.4,1.4,1.1,2.5,8,48,21,0.07,0.20,0.26,0.07,0.26,0.09,0.07,0.17,0.09,0.17,Matches
299,Bernd Leno,de GER,GK,Fulham,33-067,1992,35,35,3150,35.0,0,1,1,0,0,0,4,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches
300,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,30-197,1994,30,23,2034,22.6,0,1,1,0,0,0,8,0,1.0,1.0,1.5,2.5,11,86,25,0.00,0.04,0.04,0.00,0.04,0.04,0.06,0.11,0.04,0.11,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Rico Lewis,eng ENG,"DF,MF",Manchester City,20-170,2004,27,20,1818,20.2,1,2,3,1,0,0,5,1,1.4,1.4,0.3,1.7,36,104,68,0.05,0.10,0.15,0.05,0.15,0.07,0.02,0.08,0.07,0.08,Matches
302,Keane Lewis-Potter,eng ENG,"DF,FW",Brentford,24-077,2001,35,33,2839,31.5,1,3,4,1,0,0,6,0,2.6,2.6,3.0,5.6,92,90,144,0.03,0.10,0.13,0.03,0.13,0.08,0.10,0.18,0.08,0.18,Matches
303,Myles Lewis-Skelly,eng ENG,DF,Arsenal,18-226,2006,20,13,1168,13.0,1,0,1,1,0,0,2,2,0.1,0.1,0.4,0.5,32,62,33,0.08,0.00,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,Matches
304,Matthijs de Ligt,nl NED,DF,Manchester Utd,25-271,1999,29,25,2123,23.6,2,0,2,2,0,0,3,0,2.5,2.5,0.3,2.8,7,55,6,0.08,0.00,0.08,0.08,0.08,0.10,0.01,0.12,0.10,0.12,Matches
305,Pedro Lima,br BRA,DF,Wolves,18-313,2006,3,1,70,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,4,11,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16,Matches
306,Victor Lindelöf,se SWE,DF,Manchester Utd,30-297,1994,13,4,485,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
307,Jesper Lindstrøm,dk DEN,FW,Everton,25-070,2000,25,15,1239,13.8,0,1,1,0,0,0,2,0,2.1,2.1,2.0,4.1,30,25,81,0.00,0.07,0.07,0.00,0.07,0.15,0.15,0.30,0.15,0.30,Matches
