Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,28,28,2380,26.4,0,1,1,0,0,0,1,0,0.3,0.3,1.4,1.7,39,69,75,0.00,0.04,0.04,0.00,0.04,0.01,0.05,0.06,0.01,0.06,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,27,12,1268,14.1,7,0,7,7,0,0,2,0,6.6,6.6,0.8,7.3,12,10,66,0.50,0.00,0.50,0.50,0.50,0.47,0.06,0.52,0.47,0.52,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,25,16,1300,14.4,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,72,3,0.14,0.00,0.14,0.14,0.14,0.04,0.02,0.06,0.04,0.06,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,8,5,476,5.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.2,12,14,9,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,6,1,150,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,5,3,233,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,31,31,2721,30.2,10,7,17,9,1,1,1,0,8.0,7.3,6.3,13.6,98,86,188,0.33,0.23,0.56,0.30,0.53,0.26,0.21,0.47,0.24,0.45,Matches
