player_name,estimated_value,predicted_value
Mohamed Salah,38.5,66.11527341269843
Mohammed Kudus,61.7,53.513217840819294
Moisés Caicedo,80.7,65.28084092296592
Morgan Gibbs-White,61.7,63.09858668224478
Morgan Rogers,69.0,46.94614801864804
Murillo,68.4,58.80268883002961
Myles Lewis-Skelly,34.9,40.08869404761905
Nathan Collins,33.3,42.55910664113665
Neco Williams,23.4,40.54448440447726
Nick Pope,11.7,10.853354345216188
Nicolas Jackson,66.2,57.33382786796537
Nicolás Domínguez,18.8,21.142068283165248
Nikola Milenković,38.0,41.11918540100251
Noni Madueke,51.6,54.99511826076974
Noussair Mazraoui,43.0,39.66167994644245
Nélson Semedo,8.4,10.10678654036784
Ola Aina,18.8,32.83642621602393
Oliver Skipp,17.0,27.841122696017422
Ollie Watkins,61.4,44.59409284228842
Omar Marmoush,79.1,58.8864533910534
Omari Hutchinson,27.4,34.78121136951283
Orel Mangala,24.4,19.172840764632586
Pape Matar Sarr,50.8,45.39902003367002
Pau Torres,45.3,40.43560285409036
Paul Onuachu,12.7,16.25021217671217
Pedro Porro,55.9,57.03297566351778
Pedro Neto,60.6,58.32951615554926
Pervis Estupiñán,37.1,38.53506882814864
Phil Foden,105.7,83.3975052364302
Radu Drăgușin,28.4,29.60814419440209
Rasmus Højlund,54.9,49.02862857142857
Rayan Aït-Nouri,45.0,60.142121921596924
Raúl Jiménez,5.1,13.56534150751209
Riccardo Calafiori,49.3,45.19842215007214
Rico Lewis,62.7,41.27473502886003
Robert Sánchez,24.9,28.579865309661095
Rodrigo Muniz,8.2,66.18228531746031
Rodrigo Bentancur,31.5,29.111215829124017
Ryan Yates,18.3,22.79292606868039
Ryan Christie,16.2,17.93988892132023
Ryan Gravenberch,85.3,52.18647905179616
Ryan Manning,3.9,10.766411904761899
Rúben Dias,58.5,54.25254956709958
Sam Morsy,1.3,4.724682539682538
Sammie Szmodics,14.1,17.853249037074036
Sander Berge,27.8,25.589376217513923
Sandro Tonali,52.9,50.86131847886831
Santiago Bueno,11.2,17.289575040120067
Saša Lukić,12.1,19.362743904132927
Sepp van den Berg,26.4,28.4369137094722
Simon Adingra,34.0,40.286839519141
Son Heung-min,30.7,29.039312301587298
Stefan Ortega,5.8,7.387101190476191
Stephy Mavididi,12.9,37.85320458430459
Sávio,74.8,58.518839541014515
Taylor Harwood-Bellis,29.9,38.21960676323677
Thomas Partey,15.2,16.118912525493826
Timothy Castagne,17.4,14.90808651162466
Tomáš Souček,23.2,21.621398767898768
Tosin Adarabioyo,24.3,25.30816454386194
Toti Gomes,18.6,33.51270145593107
Trent Alexander-Arnold,55.8,59.80250476404685
Trevoh Chalobah,20.1,31.85133920903969
Tyler Adams,24.4,24.936962172406353
Tyler Dibling,32.7,42.68051407203907
Tyrick Mitchell,24.6,28.950883481891857
Tyrone Mings,5.8,5.699019963611271
Valentino Livramento,49.3,46.125881197199796
Victor Bernth Kristiansen,23.9,37.35643709866097
Virgil van Dijk,24.3,15.176953968253963
Vitaliy Mykolenko,33.5,26.45466216603165
Vitaly Janelt,27.1,26.116970414062997
Wes Burns,2.1,6.763213492063494
Wesley Fofana,30.3,29.232681716119508
Wilfred Ndidi,20.3,22.633395132090076
Will Hughes,11.1,12.501639787551632
William Saliba,79.5,64.97308114663115
Wout Faes,25.0,40.63195799938451
Yankuba Minteh,42.6,42.58103545898546
Yasin Ayari,21.4,26.63525213612094
Yehor Yarmoliuk,18.0,23.855678211437688
Yoane Wissa,31.4,42.68762133237133
Youri Tielemans,41.5,47.91148540100252
Yukinari Sugawara,15.7,21.443762551233775
Yves Bissouma,29.8,24.152588532472482
Álex Moreno,11.0,5.082085101010103
İlkay Gündoğan,12.1,13.974894841269839
Łukasz Fabiański,0.9,3.026931673881671
