Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,23.2,1017,1113,91.4,18059,4321,421,459,91.7,489,517,94.6,91,109,83.5,0,0.6,0.6,-0.6,17,105,4,0,116,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,13.5,629,720,87.4,10567,2202,295,321,91.9,264,294,89.8,53,71,74.6,1,0.6,0.8,+0.4,11,53,7,3,49,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,26.4,1007,1297,77.6,16181,5793,510,569,89.6,411,513,80.1,65,157,41.4,1,1.4,1.7,-0.4,18,74,23,18,69,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,14.1,124,217,57.1,1676,185,74,109,67.9,34,68,50.0,7,8,87.5,0,0.8,0.3,-0.8,8,5,4,1,10,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,2.0,70,102,68.6,1023,400,43,51,84.3,19,27,70.4,4,15,26.7,0,1.1,1.0,-1.1,9,9,7,2,15,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,14.4,717,804,89.2,10833,2772,394,425,92.7,261,281,92.9,36,57,63.2,0,0.3,0.6,-0.3,6,59,10,1,72,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,0.2,9,11,81.8,116,22,5,7,71.4,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,5.3,240,272,88.2,3682,1154,129,139,92.8,107,116,92.2,3,9,33.3,0,0.1,0.1,-0.1,2,24,1,0,14,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,1.7,55,70,78.6,1010,477,20,22,90.9,30,32,93.8,4,15,26.7,0,0.0,0.0,0.0,0,3,0,0,2,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,2.6,119,135,88.1,2026,812,57,67,85.1,52,53,98.1,7,10,70.0,0,0.0,0.0,0.0,0,9,0,0,3,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,30.2,517,724,71.4,8610,2531,273,329,83.0,178,233,76.4,50,90,55.6,7,6.3,6.3,+0.7,49,37,43,7,86,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-305,2003,6.3,377,449,84.0,5606,1450,220,240,91.7,139,158,88.0,11,31,35.5,1,0.5,0.6,+0.5,5,20,3,1,26,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-317,2002,26.1,909,1106,82.2,17777,7048,337,373,90.3,455,503,90.5,110,199,55.3,1,0.7,0.6,+0.3,3,80,2,0,61,Matches
67,James Bree,eng ENG,DF,Southampton,27-211,1997,9.9,440,525,83.8,7028,1910,209,230,90.9,199,225,88.4,24,47,51.1,1,0.9,0.7,+0.1,10,26,6,5,31,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-022,1999,5.0,128,166,77.1,1836,383,83,95,87.4,36,53,67.9,7,11,63.6,0,0.1,0.1,-0.1,3,9,2,1,9,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-035,1998,6.7,149,196,76.0,2132,415,91,104,87.5,51,64,79.7,3,12,25.0,0,0.6,1.1,-0.6,6,10,4,0,12,Matches
70,Armando Broja,al ALB,FW,Everton,23-242,2001,3.7,53,73,72.6,594,101,35,45,77.8,10,12,83.3,2,3,66.7,0,0.2,0.1,-0.2,4,3,0,0,2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-306,1997,9.2,245,330,74.2,3790,1131,139,164,84.8,80,105,76.2,19,37,51.4,0,1.7,1.7,-1.7,16,15,15,5,27,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-136,1996,1.1,49,60,81.7,624,166,33,36,91.7,12,14,85.7,1,5,20.0,0,0.0,0.0,0.0,1,4,1,0,7,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-182,1998,18.7,741,842,88.0,13598,4177,260,281,92.5,417,444,93.9,51,91,56.0,0,0.0,0.1,0.0,0,24,2,0,28,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-138,2004,16.4,430,561,76.6,6782,1709,234,273,85.7,145,177,81.9,35,72,48.6,2,3.1,2.3,-1.1,24,40,13,2,52,Matches
