Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-301,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-085,1998,23.2,5,0,0,29,8,0,3,20,28,0,0,0,118,27,20,57.4,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-097,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-145,2002,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
57,Beto,gw GNB,FW,Everton,27-099,1998,14.1,2,0,0,30,18,14,3,3,6,0,0,0,30,78,92,45.9,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-333,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-253,1996,14.4,7,0,0,23,18,0,2,16,29,0,1,0,78,5,7,41.7,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-302,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-125,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-096,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-118,2000,2.6,1,0,0,4,2,0,0,4,4,0,0,0,8,11,6,64.7,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-141,1996,30.2,1,0,0,19,49,10,101,16,24,0,0,0,120,12,46,20.7,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-305,2003,6.3,3,0,0,9,10,0,6,3,8,0,0,0,36,7,7,50.0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-317,2002,26.1,4,0,0,10,17,1,5,23,20,0,0,0,84,53,38,58.2,Matches
67,James Bree,eng ENG,DF,Southampton,27-211,1997,9.9,0,0,0,2,4,0,24,8,10,0,0,0,56,12,5,70.6,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-022,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-035,1998,6.7,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,Matches
70,Armando Broja,al ALB,FW,Everton,23-242,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-306,1997,9.2,3,0,0,8,15,0,44,5,4,0,0,0,44,7,10,41.2,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-136,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-182,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-138,2004,16.4,7,0,0,35,33,3,41,11,32,0,0,0,77,17,35,32.7,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-201,1995,16.1,0,0,0,5,4,1,0,14,10,0,0,0,40,43,22,66.2,Matches
