Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-292,1998,30.2,59,39,30,24,5,26,53,49.1,27,45,14,31,25,84,84,3,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-174,1999,2.9,2,2,2,0,0,2,5,40.0,3,3,3,0,2,4,21,0,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-348,1999,26.9,35,21,16,15,4,11,36,30.6,25,19,1,18,17,52,23,0,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-213,1998,7.3,17,9,4,9,4,7,17,41.2,10,7,1,6,1,18,10,0,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-053,1999,31.0,67,39,39,22,6,34,52,65.4,18,22,9,13,37,104,72,0,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-311,2000,29.5,78,43,27,26,25,28,72,38.9,44,36,2,34,26,104,30,2,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-011,2001,3.0,6,3,5,1,0,2,4,50.0,2,2,1,1,3,9,3,0,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-114,2006,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-233,1998,6.4,6,5,3,3,0,5,8,62.5,3,7,7,0,3,9,44,1,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-016,1993,12.5,14,10,6,8,0,7,14,50.0,7,24,16,8,12,26,65,1,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-118,2000,28.5,45,26,32,9,4,29,46,63.0,17,24,8,16,25,70,72,3,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-004,1990,10.8,15,3,8,6,1,12,15,80.0,3,16,11,5,9,24,52,1,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-316,1991,17.1,17,9,7,5,5,5,23,21.7,18,8,0,8,7,24,10,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,32-097,1993,8.3,9,4,3,6,0,4,14,28.6,10,6,1,5,0,9,10,0,Matches
127,Liam Delap,eng ENG,FW,Ipswich Town,22-091,2003,27.7,10,7,3,2,5,2,14,14.3,12,8,0,8,2,12,28,0,Matches
128,Sepp van den Berg,nl NED,DF,Brentford,23-141,2001,25.7,37,22,23,10,4,18,27,66.7,9,50,36,14,20,57,118,2,Matches
129,Justin Devenny,nir NIR,MF,Crystal Palace,21-211,2003,4.8,14,9,6,7,1,7,14,50.0,7,3,0,3,0,14,10,0,Matches
