Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
333,Konstantinos Mavropanos,gr GRE,DF,West Ham,27-150,1997,21.6,32,22,22,9,1,14,25,56.0,11,23,17,6,38,70,117,1,Matches
334,Noussair Mazraoui,ma MAR,DF,Manchester Utd,27-177,1997,29.3,102,60,53,36,13,51,85,60.0,34,33,8,25,34,136,88,1,Matches
335,Bryan Mbeumo,cm CMR,FW,Brentford,25-276,1999,34.9,45,29,17,14,14,18,31,58.1,13,24,3,21,14,59,48,1,Matches
336,James Mcatee,eng ENG,"MF,FW",Manchester City,22-204,2002,3.4,4,2,0,4,0,1,7,14.3,6,8,0,8,2,6,1,0,Matches
337,Kasey McAteer,ie IRL,"FW,MF",Leicester City,23-169,2001,6.8,14,11,7,4,3,9,21,42.9,12,13,1,12,3,17,11,0,Matches
338,Alex McCarthy,eng ENG,GK,Southampton,35-158,1989,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,4,Matches
339,John McGinn,sct SCO,"MF,FW",Aston Villa,30-204,1994,22.8,31,22,10,13,8,11,27,40.7,16,21,2,19,14,45,16,3,Matches
340,Dwight McNeil,eng ENG,"MF,FW",Everton,25-169,1999,14.0,11,6,5,4,2,8,19,42.1,11,7,0,7,5,16,2,1,Matches
341,Scott McTominay,sct SCO,MF,Manchester Utd,28-153,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
342,Ben Mee,eng ENG,DF,Brentford,35-231,1989,2.0,2,2,0,2,0,1,1,100.0,0,3,3,0,4,6,7,0,Matches
343,Jayden Meghoma,eng ENG,DF,Brentford,18-316,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
344,Mikel Merino,es ESP,"MF,FW",Arsenal,28-322,1996,15.8,38,22,6,21,11,15,29,51.7,14,18,5,13,14,52,24,1,Matches
345,Shumaira Mheuka,eng ENG,MF,Chelsea,17-202,2007,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
346,Nikola Milenković,rs SRB,DF,Nott'ham Forest,27-210,1997,34.0,43,26,30,11,2,21,27,77.8,6,40,24,16,25,68,192,1,Matches
347,Lewis Miley,eng ENG,MF,Newcastle Utd,19-009,2006,2.8,11,9,4,6,1,6,11,54.5,5,5,1,4,2,13,5,2,Matches
348,James Milner,eng ENG,MF,Brighton,39-126,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1,Matches
349,Tyrone Mings,eng ENG,DF,Aston Villa,32-058,1993,11.7,6,5,5,1,0,2,2,100.0,0,13,11,2,7,13,58,1,Matches
350,Yankuba Minteh,gm GAM,"FW,MF",Brighton,20-292,2004,17.6,45,32,24,13,8,17,45,37.8,28,20,0,20,11,56,31,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
351,Tyrick Mitchell,eng ENG,DF,Crystal Palace,25-251,1999,32.7,87,54,54,26,7,22,42,52.4,20,62,12,50,14,101,99,2,Matches
352,Kaoru Mitoma,jp JPN,"FW,MF",Brighton,27-355,1997,28.0,43,26,14,13,16,18,46,39.1,28,46,3,43,13,56,10,0,Matches
353,Jakub Moder,pl POL,MF,Brighton,26-033,1999,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0,Matches
354,Jeremy Monga,,"FW,MF",Leicester City,,,0.6,1,1,0,1,0,1,1,100.0,0,3,2,1,0,1,1,0,Matches
355,Mikey Moore,eng ENG,FW,Tottenham,17-272,2007,2.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches
356,Morato,br BRA,DF,Nott'ham Forest,23-314,2001,9.0,21,13,18,2,1,13,20,65.0,7,12,4,8,10,31,71,2,Matches
357,Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31-336,1993,10.6,25,18,20,5,0,15,39,38.5,24,11,5,6,15,40,43,0,Matches
358,Sam Morsy,eg EGY,MF,Ipswich Town,33-242,1991,27.6,62,36,35,23,4,26,57,45.6,31,32,13,19,28,90,43,4,Matches
359,Yerson Mosquera,co COL,DF,Wolves,24-008,2001,4.9,11,7,9,2,0,9,14,64.3,5,13,10,3,10,21,14,0,Matches
360,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-120,1999,4.8,10,4,5,5,0,8,10,80.0,2,8,1,7,3,13,1,0,Matches
361,Divin Mubama,eng ENG,FW,Manchester City,20-197,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
362,Mykhailo Mudryk,ua UKR,FW,Chelsea,24-125,2001,1.7,2,2,2,0,0,0,0,,0,3,1,2,0,2,1,0,Matches
363,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-322,1996,9.8,21,10,6,9,6,12,20,60.0,8,12,1,11,6,27,15,0,Matches
364,Rodrigo Muniz,br BRA,FW,Fulham,24-006,2001,10.7,10,5,3,5,2,4,4,100.0,0,9,2,7,5,15,14,0,Matches
365,Daniel Muñoz,co COL,DF,Crystal Palace,28-349,1996,32.9,113,74,53,37,23,52,89,58.4,37,36,4,32,40,153,102,1,Matches
366,Arijanet Muric,xk KVX,GK,Ipswich Town,26-184,1998,18.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,10,5,Matches
367,Murillo,br BRA,DF,Nott'ham Forest,22-310,2002,33.4,53,36,38,12,3,27,46,58.7,19,67,44,23,32,85,236,3,Matches
368,Jacob Murphy,eng ENG,FW,Newcastle Utd,30-075,1995,23.8,22,15,7,9,6,16,31,51.6,15,31,0,31,11,33,26,1,Matches
369,Vitaliy Mykolenko,ua UKR,DF,Everton,25-346,1999,31.2,55,33,33,14,8,26,51,51.0,25,24,9,15,37,92,135,1,Matches
370,Iliman Ndiaye,sn SEN,FW,Everton,25-065,2000,25.0,48,25,18,15,15,19,45,42.2,26,27,5,22,17,65,24,1,Matches
371,Wilfred Ndidi,ng NGA,MF,Leicester City,28-145,1996,23.9,81,50,45,29,7,27,54,50.0,27,47,19,28,26,107,72,0,Matches
372,Kosta Nedeljković,rs SRB,DF,Aston Villa,19-145,2005,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0,Matches
373,Reiss Nelson,eng ENG,FW,Arsenal,25-151,1999,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
374,Reiss Nelson,eng ENG,FW,Fulham,25-151,1999,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0,Matches
375,Neto,br BRA,GK,Bournemouth,35-295,1989,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
376,Pedro Neto,pt POR,FW,Chelsea,25-062,2000,22.4,22,9,9,9,4,8,19,42.1,11,13,2,11,9,31,6,0,Matches
377,Eddie Nketiah,eng ENG,"FW,MF",Crystal Palace,25-345,1999,9.9,13,6,6,3,4,6,12,50.0,6,10,1,9,2,15,11,0,Matches
378,Christopher Nkunku,fr FRA,FW,Chelsea,27-177,1997,10.2,12,8,3,4,5,6,8,75.0,2,9,2,7,7,19,10,0,Matches
379,Gustavo Nunes,br BRA,"FW,MF",Brentford,19-171,2005,0.1,3,2,2,0,1,2,2,100.0,0,0,0,0,0,3,2,0,Matches
380,Matheus Nunes,pt POR,"DF,MF",Manchester City,26-256,1998,16.6,32,21,13,13,6,15,34,44.1,19,14,3,11,13,45,35,1,Matches
381,Darwin Núñez,uy URU,FW,Liverpool,25-320,1999,11.7,19,16,11,3,5,6,16,37.5,10,6,0,6,3,22,12,0,Matches
382,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,18-050,2007,9.1,11,7,4,4,3,7,18,38.9,11,8,2,6,2,13,4,1,Matches
383,Christian Nørgaard,dk DEN,MF,Brentford,31-061,1994,28.3,75,45,34,34,7,44,71,62.0,27,51,19,32,45,120,65,1,Matches
384,Jake O'Brien,ie IRL,DF,Everton,23-360,2001,15.5,24,16,19,5,0,16,24,66.7,8,16,4,12,4,28,80,0,Matches
385,Matt O'Riley,dk DEN,MF,Brighton,24-170,2000,9.4,15,9,4,8,3,4,12,33.3,8,7,3,4,13,28,8,1,Matches
386,Dara O'Shea,ie IRL,DF,Ipswich Town,26-067,1999,31.7,47,30,33,11,3,20,31,64.5,11,59,47,12,31,78,204,4,Matches
387,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,17-162,2007,1.7,2,1,0,0,2,2,2,100.0,0,0,0,0,0,2,1,0,Matches
388,Wilson Odobert,fr FRA,FW,Tottenham,20-163,2004,7.0,9,3,4,3,2,6,11,54.5,5,4,0,4,3,12,3,1,Matches
389,Chiedozie Ogbene,ie IRL,FW,Ipswich Town,28-009,1997,2.6,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0,Matches
390,Caleb Okoli,it ITA,DF,Leicester City,23-301,2001,12.5,25,14,8,15,2,11,18,61.1,7,24,14,10,15,40,79,3,Matches
391,Robin Olsen,se SWE,GK,Aston Villa,35-122,1990,2.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1,Matches
392,Amadou Onana,be BEL,MF,Aston Villa,23-267,2001,15.3,47,24,21,22,4,14,26,53.8,12,14,6,8,24,71,37,3,Matches
393,André Onana,cm CMR,GK,Manchester Utd,29-038,1996,33.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,11,4,Matches
394,Paul Onuachu,ng NGA,FW,Southampton,30-347,1994,11.4,7,2,1,5,1,3,7,42.9,4,7,2,5,1,8,16,1,Matches
395,Frank Onyeka,ng NGA,MF,Brentford,27-129,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
396,Lewis Orford,eng ENG,MF,West Ham,19-081,2006,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
397,Stefan Ortega,de GER,GK,Manchester City,32-185,1992,12.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,1,Matches
398,William Osula,dk DEN,FW,Newcastle Utd,21-279,2003,1.2,1,0,0,0,1,0,2,0.0,2,0,0,0,4,5,2,0,Matches
399,Dango Ouattara,bf BFA,FW,Bournemouth,23-088,2002,22.3,35,26,14,11,10,17,41,41.5,24,36,10,26,11,46,51,0,Matches
400,Nico O’Reilly,eng ENG,DF,Manchester City,20-050,2005,5.7,9,4,3,3,3,4,8,50.0,4,5,1,4,4,13,12,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
401,Alex Palmer,eng ENG,GK,Ipswich Town,28-273,1996,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,12,0,Matches
402,Cole Palmer,eng ENG,MF,Chelsea,23-004,2002,32.5,27,17,11,9,7,9,23,39.1,14,14,1,13,11,38,18,1,Matches
403,Emerson Palmieri,it ITA,DF,West Ham,30-280,1994,23.4,60,31,37,18,5,27,48,56.3,21,32,8,24,21,81,59,0,Matches
404,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-256,1997,26.0,66,37,25,30,11,27,54,50.0,27,28,4,24,17,83,37,6,Matches
405,Thomas Partey,gh GHA,"MF,DF",Arsenal,31-331,1993,28.1,80,49,23,37,20,44,72,61.1,28,25,7,18,33,113,46,4,Matches
406,Nathan Patterson,sct SCO,DF,Everton,23-206,2001,3.9,11,6,7,4,0,7,14,50.0,7,2,0,2,2,13,7,0,Matches
407,Andreas Pereira,br BRA,MF,Fulham,29-129,1996,20.9,22,12,7,11,4,10,40,25.0,30,16,2,14,8,30,15,2,Matches
408,Ricardo Pereira,pt POR,DF,Leicester City,31-216,1993,3.8,11,6,4,4,3,6,12,50.0,6,6,2,4,2,13,10,0,Matches
409,Kalvin Phillips,eng ENG,MF,Ipswich Town,29-159,1995,13.7,35,19,8,20,7,15,39,38.5,24,35,6,29,19,54,37,2,Matches
410,Jaden Philogene Bidace,eng ENG,"FW,MF",Aston Villa,23-091,2002,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1,Matches
411,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-091,2002,5.3,14,7,6,6,2,8,15,53.3,7,11,1,10,10,24,9,1,Matches
412,Jordan Pickford,eng ENG,GK,Everton,31-064,1994,35.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,29,2,Matches
413,Ethan Pinnock,jm JAM,DF,Brentford,31-346,1993,21.3,35,19,15,16,4,13,24,54.2,11,29,18,11,24,59,142,4,Matches
414,Daniel Podence,pt POR,"MF,FW",Wolves,29-201,1995,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
415,Alfie Pond,eng ENG,DF,Wolves,21-070,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
416,Nick Pope,eng ENG,GK,Newcastle Utd,33-021,1992,25.0,0,0,0,0,0,0,0,,0,1,0,1,1,1,30,5,Matches
417,Pedro Porro,es ESP,DF,Tottenham,25-239,1999,27.4,63,46,31,22,10,42,73,57.5,31,44,17,27,34,97,80,1,Matches
418,Jarell Quansah,eng ENG,DF,Liverpool,22-101,2003,4.5,11,8,8,3,0,6,8,75.0,2,8,7,1,6,17,18,1,Matches
419,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,23-209,2001,1.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
420,Aaron Ramsdale,eng ENG,GK,Southampton,26-361,1998,27.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,8,2,Matches
421,Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,23-347,2001,16.8,30,15,14,10,6,10,20,50.0,10,21,3,18,7,37,8,1,Matches
422,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,27-191,1997,10.9,7,4,2,2,3,3,9,33.3,6,8,0,8,4,11,7,0,Matches
423,Marcus Rashford,eng ENG,FW,Aston Villa,27-191,1997,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0,Matches
424,David Raya,es ESP,GK,Arsenal,29-237,1995,35.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,18,6,Matches
425,Harrison Reed,eng ENG,MF,Fulham,30-103,1995,1.2,6,3,3,2,1,1,3,33.3,2,1,0,1,1,7,3,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
426,Remy Rees-Dottin,eng ENG,FW,Bournemouth,19-065,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
427,Sergio Reguilón,es ESP,DF,Tottenham,28-145,1996,1.4,4,3,1,3,0,2,3,66.7,1,4,0,4,2,6,3,0,Matches
428,Vitor Reis,br BRA,DF,Manchester City,19-118,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
429,Chadi Riad,ma MAR,DF,Crystal Palace,21-327,2003,1.0,5,2,2,2,1,2,3,66.7,1,0,0,0,2,7,0,0,Matches
430,Declan Rice,eng ENG,MF,Arsenal,26-116,1999,29.4,52,24,21,25,6,16,37,43.2,21,24,11,13,25,77,44,0,Matches
431,Chris Richards,us USA,DF,Crystal Palace,25-043,2000,18.4,44,28,21,17,6,23,38,60.5,15,36,13,23,15,59,98,0,Matches
432,Richarlison,br BRA,FW,Tottenham,28-000,1997,5.3,4,3,0,3,1,0,2,0.0,2,1,1,0,0,4,8,0,Matches
433,Andrew Robertson,sct SCO,DF,Liverpool,31-060,1994,25.6,38,22,24,10,4,30,47,63.8,17,9,4,5,20,58,51,2,Matches
434,Antonee Robinson,us USA,DF,Fulham,27-275,1997,33.2,90,57,53,30,7,44,89,49.4,45,37,7,30,57,147,124,2,Matches
435,Jay Robinson,eng ENG,"MF,FW",Southampton,18-056,2007,0.4,2,1,2,0,0,0,0,,0,0,0,0,0,2,0,0,Matches
436,Rodri,es ESP,MF,Manchester City,28-322,1996,0.7,2,1,1,1,0,0,0,,0,1,0,1,1,3,0,0,Matches
437,Guido Rodríguez,ar ARG,MF,West Ham,31-028,1994,11.3,30,16,19,11,0,14,30,46.7,16,21,9,12,12,42,28,1,Matches
438,Mads Roerslev,dk DEN,DF,Brentford,25-320,1999,12.2,18,8,14,3,1,11,28,39.3,17,12,5,7,4,22,35,0,Matches
439,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22-288,2002,31.7,36,18,13,13,10,19,39,48.7,20,25,7,18,5,41,19,2,Matches
440,Cristian Romero,ar ARG,DF,Tottenham,27-013,1998,15.7,35,29,26,8,1,21,30,70.0,9,18,3,15,21,56,57,2,Matches
441,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-020,2002,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2,Matches
442,José Sá,pt POR,GK,Wolves,32-113,1993,27.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,14,1,Matches
443,Bukayo Saka,eng ENG,"FW,MF",Arsenal,23-247,2001,17.1,24,13,7,10,7,11,22,50.0,11,21,0,21,3,27,8,0,Matches
444,Mohamed Salah,eg EGY,FW,Liverpool,32-329,1992,34.5,20,11,7,5,8,7,16,43.8,9,11,0,11,7,27,5,0,Matches
445,William Saliba,fr FRA,DF,Arsenal,24-047,2001,32.3,60,36,35,23,2,21,27,77.8,6,24,15,9,21,81,111,6,Matches
446,Robert Sánchez,es ESP,GK,Chelsea,27-173,1997,29.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,20,9,Matches
447,Jadon Sancho,eng ENG,FW,Chelsea,25-046,2000,18.7,10,6,3,2,5,5,12,41.7,7,9,0,9,2,12,6,2,Matches
448,Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27-159,1997,4.1,19,11,5,13,1,4,12,33.3,8,8,3,5,3,22,6,1,Matches
449,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-364,1992,8.0,15,8,4,8,3,9,14,64.3,5,10,0,10,4,19,7,1,Matches
450,Jeremy Sarmiento,ec ECU,MF,Brighton,22-328,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
451,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-074,1998,27.6,21,10,9,9,3,7,23,30.4,16,24,8,16,9,30,36,0,Matches
452,Sávio,br BRA,"FW,MF",Manchester City,21-030,2004,19.3,22,16,5,10,7,9,18,50.0,9,13,2,11,6,28,9,1,Matches
453,Oliver Scarles,eng ENG,DF,West Ham,19-149,2005,6.6,17,11,13,3,1,13,21,61.9,8,14,2,12,10,27,24,0,Matches
454,Dane Scarlett,eng ENG,"FW,MF",Tottenham,21-047,2004,0.4,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
455,Kevin Schade,de GER,FW,Brentford,23-164,2001,23.0,35,23,14,10,11,12,20,60.0,8,17,2,15,5,40,31,0,Matches
456,Fabian Schär,ch SUI,DF,Newcastle Utd,33-141,1991,29.6,34,21,15,17,2,14,34,41.2,20,37,24,13,41,75,116,3,Matches
457,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32-138,1992,1.1,2,0,1,0,1,0,3,0.0,3,6,0,6,0,2,2,0,Matches
458,Alex Scott,eng ENG,MF,Bournemouth,21-262,2003,7.9,26,13,10,8,8,18,40,45.0,22,17,4,13,10,36,13,0,Matches
459,Matz Sels,be BEL,GK,Nott'ham Forest,33-073,1992,35.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,23,1,Matches
460,Nélson Semedo,pt POR,DF,Wolves,31-175,1993,29.6,58,34,31,20,7,30,53,56.6,23,28,10,18,23,81,100,3,Matches
461,Antoine Semenyo,gh GHA,FW,Bournemouth,25-123,2000,32.6,53,34,16,24,13,16,42,38.1,26,59,8,51,10,63,35,1,Matches
462,Marcos Senesi,ar ARG,DF,Bournemouth,28-000,1997,11.3,35,21,22,11,2,14,30,46.7,16,15,7,8,11,46,54,0,Matches
463,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-357,2000,5.2,21,11,8,8,5,6,15,40.0,9,11,0,11,3,24,11,0,Matches
464,Luke Shaw,eng ENG,DF,Manchester Utd,29-302,1995,2.4,4,3,2,2,0,2,2,100.0,0,2,1,1,2,6,6,0,Matches
465,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,19-305,2005,0.0,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,Matches
466,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-273,1994,26.7,52,34,15,28,9,24,52,46.2,28,33,7,26,20,72,28,3,Matches
467,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25-282,1999,9.4,25,13,12,11,2,5,25,20.0,20,9,1,8,12,37,17,0,Matches
468,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,19-007,2006,0.3,2,2,2,0,0,2,6,33.3,4,0,0,0,1,3,0,0,Matches
469,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19-187,2005,1.1,1,0,1,0,0,0,1,0.0,1,1,1,0,0,1,2,0,Matches
470,Luis Sinisterra,co COL,"FW,MF",Bournemouth,25-327,1999,2.6,7,2,3,2,2,0,4,0.0,4,3,0,3,1,8,8,0,Matches
471,Oliver Skipp,eng ENG,MF,Leicester City,24-236,2000,11.1,20,4,5,12,3,9,15,60.0,6,17,4,13,10,30,10,1,Matches
472,William Smallbone,ie IRL,MF,Southampton,25-078,2000,7.2,18,11,8,8,2,7,21,33.3,14,8,0,8,2,20,12,2,Matches
473,Adam Smith,eng ENG,DF,Bournemouth,34-011,1991,15.7,21,10,10,5,6,12,25,48.0,13,12,5,7,14,35,47,1,Matches
474,Emile Smith Rowe,eng ENG,MF,Fulham,24-286,2000,21.0,31,18,7,14,10,8,24,33.3,16,20,2,18,11,42,16,0,Matches
475,Dominic Solanke,eng ENG,FW,Tottenham,27-238,1997,23.5,18,11,1,12,5,4,14,28.6,10,18,7,11,0,18,22,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
476,Carlos Soler,es ESP,"MF,FW",West Ham,28-128,1997,15.1,15,11,8,6,1,7,23,30.4,16,19,6,13,8,23,21,2,Matches
477,Julio Soler,ar ARG,FW,Bournemouth,20-083,2005,0.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
478,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25-252,1999,3.3,5,3,3,0,2,1,5,20.0,4,9,0,9,4,9,5,0,Matches
479,Tomáš Souček,cz CZE,MF,West Ham,30-072,1995,25.9,42,19,19,20,3,22,39,56.4,17,35,17,18,18,60,74,1,Matches
480,Boubakary Soumaré,fr FRA,MF,Leicester City,26-072,1999,21.8,33,18,21,11,1,18,30,60.0,12,20,8,12,24,57,31,3,Matches
481,Djed Spence,eng ENG,DF,Tottenham,24-274,2000,17.8,40,30,22,12,6,20,27,74.1,7,24,9,15,18,58,64,1,Matches
482,Jay Stansfield,eng ENG,MF,Fulham,22-167,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
483,Jason Steele,eng ENG,GK,Brighton,34-265,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
484,Jack Stephens,eng ENG,DF,Southampton,31-103,1994,13.4,32,19,23,9,0,15,27,55.6,12,15,10,5,11,43,44,2,Matches
485,Raheem Sterling,eng ENG,"FW,MF",Arsenal,30-153,1994,4.9,8,4,1,2,5,4,8,50.0,4,3,0,3,1,9,3,0,Matches
486,Ross Stewart,sct SCO,FW,Southampton,28-303,1996,3.2,3,2,1,0,2,2,6,33.3,4,3,0,3,0,3,6,0,Matches
487,Jakub Stolarczyk,pl POL,GK,Leicester City,24-142,2000,7.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,5,0,Matches
488,John Stones,eng ENG,"DF,MF",Manchester City,30-347,1994,6.1,6,2,3,2,1,5,5,100.0,0,5,3,2,4,10,19,1,Matches
489,Jørgen Strand Larsen,no NOR,FW,Wolves,25-093,2000,27.4,9,6,2,3,4,4,27,14.8,23,18,4,14,5,14,27,0,Matches
490,Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24-316,2000,16.3,29,16,14,14,1,18,30,60.0,12,17,7,10,10,39,46,3,Matches
491,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23-084,2002,13.1,16,14,6,4,6,8,13,61.5,5,9,0,9,6,22,9,0,Matches
492,Crysencio Summerville,nl NED,"FW,MF",West Ham,23-192,2001,8.7,13,7,2,8,3,3,9,33.3,6,13,4,9,0,13,7,0,Matches
493,Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29-228,1995,10.9,15,9,4,9,2,6,23,26.1,17,10,2,8,6,21,14,0,Matches
494,Dominik Szoboszlai,hu HUN,MF,Liverpool,24-197,2000,25.3,31,20,10,16,5,15,39,38.5,24,36,4,32,9,40,17,2,Matches
495,Matt Targett,eng ENG,DF,Newcastle Utd,29-234,1995,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,Matches
496,James Tarkowski,eng ENG,DF,Everton,32-172,1992,32.5,64,40,39,22,3,24,39,61.5,15,57,42,15,41,105,213,4,Matches
497,Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26-049,1999,18.6,41,24,14,18,9,10,26,38.5,16,16,3,13,5,46,11,0,Matches
498,Charlie Taylor,eng ENG,DF,Southampton,31-234,1993,3.0,7,5,4,3,0,5,6,83.3,1,5,3,2,3,10,22,1,Matches
499,Jack Taylor,ie IRL,MF,Ipswich Town,26-321,1998,8.5,20,10,6,11,3,12,23,52.2,11,10,3,7,9,29,23,0,Matches
500,Mathys Tel,fr FRA,FW,Tottenham,20-013,2005,7.2,8,3,0,4,4,2,9,22.2,7,6,0,6,0,8,2,2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
501,Kenny Tete,nl NED,DF,Fulham,29-213,1995,16.7,50,34,24,14,12,20,34,58.8,14,22,6,16,29,79,52,0,Matches
502,Thiago,br BRA,FW,Brentford,23-318,2001,1.6,3,2,1,0,2,0,1,0.0,1,2,0,2,2,5,2,1,Matches
503,Luke Thomas,eng ENG,DF,Leicester City,23-334,2001,9.7,25,20,19,4,2,18,32,56.3,14,13,5,8,18,43,39,1,Matches
504,Youri Tielemans,be BEL,MF,Aston Villa,28-003,1997,33.3,83,57,31,44,8,40,73,54.8,33,37,16,21,22,105,47,4,Matches
505,Kieran Tierney,sct SCO,"DF,FW",Arsenal,27-339,1997,2.0,5,4,3,1,1,3,5,60.0,2,0,0,0,2,7,5,0,Matches
